"EventId","Rank","Name","Alliance","Score","UserId"
"120022","79","SilentCircus","DEFl","83410","1956372992002009"
"120022","80","Juniper Skye MurrOW","DEFl","82300","1955840422002009"
"120022","81","God   Of   War","DEFl","77880","1042924500002009"
"120022","82","Gtoboi","DEFl","76930","1662911906002009"
"120022","83","Kîra 키라","DEFl","75000","1284124114002009"
"120022","84","Xxpacifist","DEFl","71160","1220371996002009"
"120022","85","StunnerOtis","DEFl","70300","1954642487002009"
"120022","86","Random word","DEFl","68100","1683911371002009"
"120022","87","TheeNAMEless","DEFl","67800","1112205467002009"
"120022","88","Tech100","DEFl","66900","1651408835002009"
"120022","89","Tiffyspurg","DEFl","57940","2200388647002009"
"120022","90","Porkchop Warrior","DEFl","55800","1408507824002009"
"120022","91","보리HA","","51340","1157682244002009"
"120022","92","카키kaki","DEFl","50530","1880001838002009"
"120022","93","Strike Anywhere","H8tr","49920","1262810720002009"
"120022","94","Prome42","DEFl","49500","1955717408002009"
"120022","95","STRATIX 360","DEFl","48300","1794408508002009"
"120022","96","Wookasian","DEFl","47790","1672057584002009"
"120022","97","루이୨୧ louis","DEFl","34200","1105149285002009"
"120022","98","Binxxxyy","DEFl","33300","1956065017002009"
"120022","99","Nvsuccess","DEFl","31800","1127048012002009"
"120022","100","LittleRuss","H8tr","25500","1006866977002009"
"120022","101","Glockmeep","DEFl","23750","1648780819002009"
"120022","102","볼보 8115 volvo","DEFl","22800","1032401035002009"
"120022","103","OGStoltz77","DEFl","21900","1955815283002009"
"120022","104","Versace club","DEFl","15900","1230726778002009"
"120022","105","Poochucker","DEFl","14500","1501336988002009"
"120022","106","tēēj","DEFl","13800","1955756618002009"
"120022","107","deamavalos","H8tr","8400","1884635239002009"
"120022","108","junior1087","DEFl","6600","1841136973002009"
"120022","109","ᎢᎧᎡᎠధnᎧ","H8tr","5100","1483211380002009"
"120022","110","Katiebug123","DFIW","4500","1415642309002009"
"120022","111","NV Dragon Phoenix","NELA","3000","2174635372002009"
